Test_ID,Country,Phone_Number,Transaction_Date,Transaction_Time
1,IN,9876543210,18-06-2026,14:30:45
2,IN,987654321,18-06-2026,14:30:45
3,IN,09876543210,18-06-2026,14:30:45
4,IN,+919876543210,18-06-2026,14:30:45
5,IN,98765abc10,18-06-2026,14:30:45
6,US,2125551234,06/18/2026,02:30 PM
7,US,12125551234,06/18/2026,02:30 PM
8,US,+12125551234,06/18/2026,02:30 PM
9,US,212555123,06/18/2026,02:30 PM
10,US,abcdefghij,06/18/2026,02:30 PM
11,SG,91234567,2026-06-18,23:59:59
12,SG,81234567,2026-06-18,23:59:59
13,SG,71234567,2026-06-18,23:59:59
14,SG,9123456,2026-06-18,23:59:59
15,SG,+6591234567,2026-06-18,23:59:59
16,UK,7911123456,18/06/2026,14:30:45
17,UK,+447911123456,18/06/2026,14:30:45
18,UK,791112345,18/06/2026,14:30:45
19,UK,abcdefghij,18/06/2026,14:30:45
20,AE,501234567,18-06-2026,14:30:45
21,AE,+971501234567,18-06-2026,14:30:45
22,AE,50123456,18-06-2026,14:30:45
23,AU,412345678,18-06-2026,14:30:45
24,AU,+61412345678,18-06-2026,14:30:45
25,AU,41234567,18-06-2026,14:30:45
26,IN,9876543210,31-02-2026,14:30:45
27,US,2125551234,13/18/2026,02:30 PM
28,SG,91234567,2026-13-18,23:59:59
29,UK,7911123456,18/06/2026,24:00:00
30,IN,9876543210,18-06-2026,25:30:45
31,US,2125551234,06/18/2026,14:61:45
32,SG,91234567,2026-06-18,99:99:99
33,IN,9876543210,18-06-2026,14-30-45
34,US,2125551234,06/18/2026,abc
35,SG,91234567,2026-06-18,
36,UK,7911123456,18/06/2026,
37,IN,,18-06-2026,14:30:45
38,US,,06/18/2026,02:30 PM
39,SG,,2026-06-18,23:59:59
40,IN,9876543210,,14:30:45
41,US,2125551234,,02:30 PM
42,SG,91234567,,23:59:59
43,IN,9876543210,20260618,14:30:45
44,US,2125551234,"Thu, 18 Jun 2026",02:30 PM
45,SG,91234567,2026/06/18,14:30:45
46,IN,9876543210,18-06-2026,12:00 AM
47,IN,9876543210,18-06-2026,12:00 PM
48,IN,9876543210,18-06-2026,11:59 PM
49,IN,9876543210,18-06-2026,07:08:09.999
50,IN,9876543210,18-06-2026,07:08:09.999999
51,IN,9876543210,2026-06-18T14:30:45Z,
52,US,2125551234,2026-06-18T14:30:45+05:30,
53,SG,91234567,2026-06-18T14:30:45.123Z,
54,IN,9876543210,garbage,14:30:45
55,US,2125551234,06/18/2026,garbage
56,SG,garbage,2026-06-18,23:59:59
57,IN,9876543210,29-02-2024,14:30:45
58,IN,9876543210,29-02-2023,14:30:45
59,US,2125551234,02/29/2024,11:59 PM
60,US,2125551234,02/29/2023,11:59 PM
